1,1280
2,1461
3,86
4,1469
5,1361
6,1297
7,1000
8,1866
9,903
10,690
11,312
12,1831
13,1373
14,1886
15,1234
16,1342
17,1452
18,1763
19,1655
20,894
21,255
22,594
23,664
24,865
25,1539
26,589
27,622
28,366
29,346
30,1773
31,1791
32,114
33,51
34,927
35,2015
36,1976
37,1941
38,1288
39,1046
40,143
41,1173
42,1166
43,1133
44,1513
45,261
46,1940
47,182
48,1473
49,1886
50,61
51,357
52,1266
53,1317
54,294
55,721
56,1906
57,1841
58,291
59,948
60,1576
61,1117
62,796
63,552
64,1427
65,1484
66,1698
67,335
68,1193
69,1738
70,128
71,847
72,1523
73,191
74,1022
75,970
76,1044
77,1221
78,116
79,1692
80,1515
81,1582
82,1796
83,1923
84,860
85,1451
86,352
87,672
88,375
89,1083
90,623
91,1587
92,800
93,1736
94,959
95,191
96,1867
97,942
98,1402
99,1990
100,1053
101,1027
102,1238
103,887
104,1105
105,1824
106,107
107,2065
108,1377
109,1616
110,1217
111,878
112,328
113,839
114,1234
115,614
116,260
117,1754
118,2036
119,215
120,1404
121,1433
122,273
123,1282
124,1002
125,2096
126,1467
127,2039
128,2126
129,1972
130,1729
131,1765
132,736
133,1658
134,1923
135,1797
136,1589
137,2091
138,2032
139,1886
140,520
141,1692
142,175
143,777
144,1575
145,176
146,1020
147,2006
148,575
149,772
150,1866
151,1386
152,599
153,1078
154,1397
155,1580
156,1083
157,1738
158,2149
159,1252
160,1106
161,1284
162,1228
163,1309
164,1243
165,1599
166,812
167,1383
168,609
169,1730
170,1084
171,953
172,352
173,1959
174,1181
175,523
176,657
177,316
178,615
179,1220
180,609
181,1738
182,1253
183,923
184,1499
185,502
186,269
187,356
188,1711
189,1296
190,235
191,1241
192,1674
193,2149
194,1377
195,974
196,930
197,1024
198,1163
199,1347
200,1840
201,761
202,2168
203,1254
204,2045
205,1681
206,1403
207,465
208,830
209,1467
210,1810
211,1004
212,1973
213,1347
214,646
215,1716
216,2113
217,1570
218,1154
219,656
220,1314
221,1073
222,2004
223,1758
224,1390
225,557
226,316
227,949
228,1908
229,1012
230,437
231,829
232,946
233,2233
234,1951
235,834
236,649
237,1950
238,2170
239,678
240,1159
241,321
242,1889
243,843
244,267
245,1122
246,1398
247,1717
248,1870
249,975
250,1183
251,1240
252,1247
253,1058
254,2051
255,989
256,470
257,2198
258,550
259,1922
260,1127
261,287
262,723
263,923
264,780
265,939
266,471
267,1864
268,659
269,467
270,1559
271,1806
272,2201
273,2172
274,2124
275,1172
276,888
277,1972
278,560
279,557
280,815
281,1929
282,1258
283,2204
284,595
285,918
286,2267
287,1486
288,1765
289,980
290,1514
291,1638
292,615
293,1862
294,822
295,1480
296,1426
297,1946
298,2150
299,1106
300,2143
301,2033
302,1569
303,750
304,308
305,1041
306,315
307,1223
308,756
309,1083
310,1629
311,483
312,893
313,1657
314,755
315,2212
316,493
317,570
318,1982
319,2053
320,416
321,1909
322,1688
323,1408
324,1974
325,1702
326,627
327,610
328,892
329,2329
330,1805
331,1886
332,1007
333,2144
334,469
335,1913
336,879
337,890
338,2222
339,683
340,1153
